"ticker","date","amount"
"SLF.TO","2001-11-08",0.1200
"SLF.TO","2001-11-15",0.1200
"SLF.TO","2002-02-22",0.1400
"SLF.TO","2002-05-08",0.1400
"SLF.TO","2002-08-23",0.1400
"SLF.TO","2002-11-15",0.1400
"SLF.TO","2003-02-24",0.1700
"SLF.TO","2003-05-26",0.1700
"SLF.TO","2003-08-25",0.1700
"SLF.TO","2003-11-17",0.1700
"SLF.TO","2004-02-23",0.2100
"SLF.TO","2004-05-21",0.2100
"SLF.TO","2004-08-23",0.2200
"SLF.TO","2004-11-22",0.2200
"SLF.TO","2005-02-21",0.2400
"SLF.TO","2005-05-20",0.2400
"SLF.TO","2005-08-22",0.2550
"SLF.TO","2005-11-21",0.2550
"SLF.TO","2006-02-20",0.2750
"SLF.TO","2006-05-19",0.2750
"SLF.TO","2006-08-21",0.3000
"SLF.TO","2006-11-20",0.3000
"SLF.TO","2007-02-19",0.3200
"SLF.TO","2007-05-18",0.3200
"SLF.TO","2007-08-20",0.3400
"SLF.TO","2007-11-19",0.3400
"SLF.TO","2008-02-25",0.3600
"SLF.TO","2008-05-16",0.3600
"SLF.TO","2008-08-18",0.3600
"SLF.TO","2008-11-17",0.3600
"SLF.TO","2009-02-23",0.3600
"SLF.TO","2009-05-25",0.3600
"SLF.TO","2009-08-24",0.3600
"SLF.TO","2009-11-23",0.3600
"SLF.TO","2010-02-22",0.3600
"SLF.TO","2010-05-21",0.3600
"SLF.TO","2010-08-23",0.3600
"SLF.TO","2010-11-22",0.3600
"SLF.TO","2011-02-28",0.3600
"SLF.TO","2011-05-20",0.3600
"SLF.TO","2011-08-22",0.3600
"SLF.TO","2011-11-21",0.3600
"SLF.TO","2012-03-05",0.3600
"SLF.TO","2012-05-28",0.3600
"SLF.TO","2012-08-27",0.3600
"SLF.TO","2012-11-26",0.3600
"SLF.TO","2013-02-25",0.3600
"SLF.TO","2013-05-27",0.3600
"SLF.TO","2013-08-26",0.3600
"SLF.TO","2013-11-25",0.3600
"SLF.TO","2014-02-26",0.3600
"SLF.TO","2014-08-25",0.3600
"SLF.TO","2014-11-24",0.3600
"SLF.TO","2015-02-23",0.3600
"SLF.TO","2015-05-25",0.3800
"SLF.TO","2015-08-24",0.3800
"SLF.TO","2015-11-23",0.3900
"SLF.TO","2016-02-29",0.3900
"SLF.TO","2016-05-30",0.4050
"SLF.TO","2016-08-29",0.4050
"SLF.TO","2016-11-28",0.4200
"SLF.TO","2017-03-01",0.4200
"SLF.TO","2017-05-29",0.4350
"SLF.TO","2017-08-28",0.4350
"SLF.TO","2017-11-28",0.4550
"SLF.TO","2018-02-28",0.4550
"SLF.TO","2018-05-29",0.4750
"SLF.TO","2018-08-28",0.4750
"SLF.TO","2018-11-27",0.5000
"SLF.TO","2019-02-28",0.5000
"SLF.TO","2019-05-28",0.5250
"SLF.TO","2019-08-27",0.5250
"SLF.TO","2019-11-26",0.5500
"SLF.TO","2020-02-28",0.5500
"SLF.TO","2020-05-26",0.5500
"SLF.TO","2020-08-25",0.5500
"SLF.TO","2020-11-24",0.5500
"SLF.TO","2021-02-26",0.5500
"SLF.TO","2021-05-25",0.5500
"SLF.TO","2021-08-24",0.5500
"SLF.TO","2021-11-23",0.6600
"SLF.TO","2022-03-01",0.6600
"SLF.TO","2022-05-31",0.6900
"SLF.TO","2022-08-23",0.6900
"SLF.TO","2022-11-22",0.7200
"SLF.TO","2023-02-28",0.7200
"SLF.TO","2023-05-30",0.7500
"SLF.TO","2023-08-29",0.7500
"SLF.TO","2023-11-28",0.7800
"SLF.TO","2024-02-27",0.7800
"SLF.TO","2024-05-29",0.8100
"SLF.TO","2024-08-28",0.8100
"SLF.TO","2024-11-27",0.8400
"SLF.TO","2025-02-26",0.8400
"SLF.TO","2025-05-28",0.8800
"SLF.TO","2025-08-27",0.8800
"SLF.TO","2025-11-26",0.9200
"SLF.TO","2026-02-25",0.9200
"SOBO.TO","2024-12-31",0.7180
"SOBO.TO","2025-03-31",0.7160
"SOBO.TO","2025-06-30",0.6840
"SOBO.TO","2025-09-29",0.6970
"SOBO.TO","2025-12-31",0.6850
"SOBO.TO","2026-03-31",0.6960
"T.TO","1995-03-06",0.0775
"T.TO","1995-06-06",0.0800
"T.TO","1995-09-06",0.0800
"T.TO","1995-12-07",0.0800
"T.TO","1996-03-07",0.0800
"T.TO","1996-06-06",0.0825
